# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps
16.67811,2.59935,2.40169,1.05000,-0.07524,3.50281
16.73470,2.63745,2.44352,1.04396,-0.11205,3.38983
16.78848,2.67588,2.48114,1.03544,-0.15284,3.28011
16.84102,2.71559,2.51556,1.02410,-0.19976,3.17087
16.89330,2.75712,2.54731,1.00946,-0.25573,3.06051
16.94604,2.80084,2.57680,0.99078,-0.32482,2.94807
16.99981,2.84703,2.60433,0.96700,-0.41297,2.83339
17.05507,2.89588,2.63015,0.93665,-0.52865,2.71771
17.11215,2.94751,2.65449,0.89758,-0.68361,2.60531
17.17127,3.00196,2.67753,0.84704,-0.88789,2.50767
17.23258,3.05923,2.69942,0.78188,-1.09520,2.44713
17.29614,3.11926,2.72031,0.70802,-1.16892,2.44713
17.36195,3.18195,2.74034,0.63248,-1.14740,2.44713
17.42997,3.24718,2.75963,0.56122,-1.04742,2.47353
17.50011,3.31479,2.77830,0.49794,-0.90750,2.52993
17.57226,3.38460,2.79648,0.44391,-0.76439,2.60829
17.64626,3.45643,2.81428,0.39881,-0.63371,2.70158
17.72195,3.53007,2.83181,0.36159,-0.52132,2.80477
17.79909,3.60522,2.84919,0.33103,-0.42745,2.91408
17.87715,3.68133,2.86653,0.30600,-0.34983,3.02643
17.95551,3.75774,2.88392,0.28554,-0.28557,3.13943
18.03356,3.83379,2.90147,0.26888,-0.23195,3.25125
18.11064,3.90878,2.91928,0.25541,-0.18665,3.36044
18.18611,3.98204,2.93745,0.24463,-0.14785,3.46588
18.25935,4.05286,2.95609,0.23619,-0.11424,3.56661
18.32975,4.12060,2.97529,0.22975,-0.08435,3.43840
18.39676,4.18459,2.99517,0.22549,-0.04745,3.29954
18.45990,4.24425,3.01583,0.22352,-0.01371,3.16280
18.51877,4.29903,3.03739,0.22371,0.01966,3.02974
18.57316,4.34851,3.05997,0.22608,0.05406,2.90165
18.62303,4.39235,3.08376,0.23074,0.09095,2.77935
18.66868,4.43041,3.10896,0.23795,0.13225,2.66298
18.71078,4.46277,3.13588,0.24812,0.18219,2.55160
18.75152,4.49071,3.16554,0.26189,0.24517,2.43982
18.79362,4.51597,3.19921,0.28027,0.32757,2.32001
18.83763,4.53878,3.23685,0.30486,0.44075,2.18975
18.88386,4.55928,3.27829,0.33822,0.60484,2.04738
18.93239,4.57753,3.32326,0.38472,0.85499,1.89228
18.98316,4.59357,3.37143,0.45209,1.25859,1.72645
19.03600,4.60739,3.42242,0.55367,1.94072,1.56043
19.09063,4.61900,3.47581,0.71121,2.87483,1.56043
19.14676,4.62837,3.53115,0.89768,2.63274,1.56043
19.20403,4.63549,3.58798,1.04687,1.99688,1.63246
19.26204,4.64031,3.64579,1.15950,1.51323,1.74408
19.32040,4.64283,3.70409,1.24639,1.19505,1.86587
19.37867,4.64299,3.76237,1.31627,0.98288,1.98749
19.43644,4.64079,3.82009,1.37503,0.84390,2.10494
19.49326,4.63619,3.87672,1.42665,0.75661,2.21610
19.54907,4.62912,3.93208,1.47391,0.70770,2.32036
19.60445,4.61942,3.98660,1.51888,0.68698,2.41840
19.65975,4.60695,4.04049,1.56332,0.69206,2.51029
19.71530,4.59162,4.09387,1.60893,0.72426,2.59539
19.77134,4.57334,4.14685,1.65762,0.78872,2.67168
19.82808,4.55207,4.19945,1.71138,0.87612,2.73406
19.88568,4.52775,4.25166,1.76991,0.92551,2.72105
19.94425,4.50037,4.30344,1.83053,0.94542,2.72105
20.00388,4.46992,4.35472,1.89159,0.93930,2.72105
20.06462,4.43653,4.40545,1.95172,0.91681,2.73370
20.12648,4.40032,4.45561,2.01003,0.88264,2.75679
20.18947,4.36140,4.50514,2.06604,0.85251,2.78926
20.25357,4.31992,4.55400,2.11941,0.78411,2.82576
20.31875,4.27598,4.60215,2.16781,0.71613,2.87687
20.38496,4.22974,4.64953,2.21216,0.65525,2.93746
20.45212,4.18133,4.69608,2.25280,0.60189,3.00410
20.51995,4.13104,4.74160,2.29021,0.55509,3.07448
20.58831,4.07905,4.78599,2.32479,0.51444,3.14722
20.65715,4.02547,4.82921,2.35692,0.47902,3.22133
20.72638,3.97043,4.87120,2.38692,0.44909,3.29612
20.79594,3.91404,4.91193,2.41526,0.42817,3.37093
20.86576,3.85641,4.95134,2.44238,0.41081,3.44458
20.93576,3.79765,4.98940,2.46846,0.39585,3.51676
21.00589,3.73788,5.02607,2.49364,0.38300,3.58732
21.07607,3.67718,5.06130,2.51805,0.37204,3.65612
21.14624,3.61567,5.09507,2.54180,0.36278,3.72304
21.21633,3.55344,5.12733,2.56501,0.35508,3.78796
21.28628,3.49060,5.15805,2.58777,0.34882,3.85075
21.35603,3.42724,5.18720,2.61017,0.34390,3.91130
21.42552,3.36344,5.21475,2.63229,0.34026,3.96946
21.49468,3.29932,5.24066,2.65422,0.33784,4.02508
21.56346,3.23495,5.26491,2.67604,0.33661,4.07800
21.63182,3.17042,5.28746,2.69781,0.33658,4.12801
21.69969,3.10583,5.30828,2.71962,0.33776,4.17487
21.76702,3.04125,5.32736,2.74154,0.34010,4.21828
21.83379,2.97677,5.34465,2.76365,0.34363,4.21647
21.89993,2.91246,5.36014,2.78603,0.34839,4.16033
21.96543,2.84840,5.37380,2.80875,0.35441,4.10223
22.03025,2.78467,5.38560,2.83191,0.36175,4.04257
22.09436,2.72133,5.39553,2.85558,0.37049,3.98172
22.15774,2.65845,5.40355,2.87987,0.38069,3.92005
22.22040,2.59610,5.40964,2.90487,0.39245,3.85789
22.28231,2.53432,5.41379,2.93067,0.40584,3.79562
22.34349,2.47318,5.41597,2.95741,0.42097,3.73360
22.40396,2.41272,5.41616,2.98518,0.43792,3.67223
22.46373,2.35297,5.41433,3.01410,0.45674,3.61194
22.52286,2.29397,5.41048,3.04431,0.47746,3.55321
22.58139,2.23574,5.40458,3.07591,0.50007,3.49661
22.63950,2.17818,5.39659,3.10904,0.52445,3.44270
22.69738,2.12118,5.38648,-3.13938,0.55042,3.39221
22.75510,2.06478,5.37426,-3.10290,0.57748,3.34629
22.81270,2.00900,5.35989,-3.06464,0.60560,3.30707
22.87021,1.95390,5.34339,-3.02461,0.63168,3.27684
22.92770,1.89952,5.32475,-2.98317,0.64883,3.25273
22.98519,1.84592,5.30396,-2.94083,0.66002,3.23070
23.04273,1.79315,5.28102,-2.89777,0.67062,3.21141
23.10035,1.74128,5.25594,-2.85408,0.67970,3.19438
23.15807,1.69038,5.22871,-2.80984,0.68763,3.17941
23.21595,1.64051,5.19934,-2.76512,0.69453,3.16626
23.27400,1.59175,5.16784,-2.71999,0.70052,3.15472
23.33226,1.54417,5.13422,-2.67450,0.70573,3.14444
23.39076,1.49786,5.09848,-2.62870,0.71022,3.13659
23.44952,1.45289,5.06064,-2.58263,0.71400,3.12646
23.50859,1.40936,5.02072,-2.53632,0.71728,3.12359
23.56799,1.36735,4.97873,-2.48982,0.72007,3.11189
23.62774,1.32695,4.93470,-2.44315,0.72285,3.11189
23.68790,1.28814,4.88874,-2.39632,0.72306,3.08912
23.74850,1.25086,4.84096,-2.34937,0.73355,3.08912
23.80959,1.21507,4.79145,-2.30257,0.69550,3.08912
23.87124,1.18069,4.74027,-2.25918,0.64990,3.12068
23.93352,1.14764,4.68749,-2.21855,0.60541,3.16302
23.99651,1.11583,4.63313,-2.18080,0.56203,3.21254
24.06030,1.08514,4.57720,-2.14583,0.51894,3.26765
24.12500,1.05548,4.51970,-2.11364,0.47644,3.32760
24.19075,1.02670,4.46059,-2.08418,0.43450,3.39191
24.25767,0.99868,4.39981,-2.05740,0.39331,3.46028
24.32593,0.97126,4.33729,-2.03326,0.35310,3.53250
24.39572,0.94431,4.27292,-2.01168,0.31427,3.60844
24.46726,0.91764,4.20654,-1.99257,0.27670,3.68799
24.54113,0.89100,4.13764,-1.97577,0.24263,3.77149
24.61710,0.86432,4.06651,-1.96127,0.20557,3.85812
24.69460,0.83753,3.99379,-1.94850,0.19171,3.91889
24.77297,0.81062,3.92018,-1.93725,0.14932,3.78324
24.85153,0.78356,3.84643,-1.92916,0.10195,3.63781
24.92956,0.75632,3.77331,-1.92400,0.05923,3.48525
25.00634,0.72889,3.70160,-1.92144,0.02022,3.32756
25.08114,0.70124,3.63210,-1.92135,-0.01748,3.16635
25.15327,0.67334,3.56558,-1.92372,-0.05589,3.00310
25.22206,0.64519,3.50281,-1.92868,-0.09773,2.83929
25.28695,0.61673,3.44450,-1.93648,-0.14538,2.67644
25.34745,0.58793,3.39129,-1.94761,-0.20225,2.51606
25.40327,0.55870,3.34374,-1.96285,-0.27349,2.35963
25.45434,0.52893,3.30224,-1.98340,-0.36750,2.20830
25.50097,0.49840,3.26700,-2.01122,-0.49906,2.06268
25.54389,0.46678,3.23798,-2.04954,-0.69595,1.92243
25.58551,0.43283,3.21390,-2.10393,-1.01031,1.78269
25.62841,0.39520,3.19330,-2.18463,-1.53112,1.64092
25.67326,0.35386,3.17590,-2.30901,-2.41254,1.52110
25.72040,0.30897,3.16151,-2.49174,-3.02539,1.52110
25.76995,0.26078,3.15000,-2.66960,-2.43460,1.52110
25.82183,0.20963,3.14130,-2.80712,-1.83788,1.61918
25.87584,0.15595,3.13532,-2.91117,-1.40889,1.73595
25.93170,0.10019,3.13203,-2.99227,-1.12075,1.85947
25.98904,0.04285,3.13136,-3.05839,-0.93386,1.98373
26.04748,-0.01556,3.13326,-3.11493,-0.81938,2.10536
26.10657,-0.07448,3.13770,3.11773,-0.74909,2.22210
26.16587,-0.13337,3.14462,3.07064,-0.71275,2.33262
26.22492,-0.19168,3.15398,3.02496,-0.70604,2.43573
26.28383,-0.24939,3.16581,2.97889,-0.72151,2.53075
26.34285,-0.30664,3.18016,2.93163,-0.73688,2.61688
26.40220,-0.36352,3.19709,2.88380,-0.73883,2.69432
